Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
ARI,WAS,@LAR,CHI,SEA,@SF,@MIN,DEN,SF,BYE,@KC,LV,@LAC,@GB,DET,@ATL,LAR,@SEA
ATL,@PHI,CAR,NO,CIN,@PIT,TB,NYG,BYE,@WAS,@CLE,DAL,@NO,BAL,@GB,ARI,@CAR,@TB
BAL,BUF,@CIN,DEN,@PIT,@CLE,@TEN,NO,@CAR,PIT,BYE,CIN,LV,@ATL,@KC,TB,@LAC,CLE
BUF,@BAL,LAC,@MIN,@GB,TEN,@HOU,@IND,NE,CHI,@NYJ,BYE,JAX,@MIA,NYJ,DET,@NE,MIA
CAR,DAL,@ATL,CIN,BYE,NYG,@WAS,@PHI,BAL,TB,@PIT,@DET,SEA,@TB,@CLE,NO,ATL,@NO
CHI,@GB,SEA,@ARI,TB,BYE,@MIA,NE,NYJ,@BUF,DET,MIN,@DET,@NYG,LAR,GB,@SF,@MIN
CIN,@IND,BAL,@CAR,@ATL,MIA,PIT,@KC,TB,BYE,NO,@BAL,CLE,DEN,@LAC,LV,@CLE,@PIT
CLE,PIT,@NO,NYJ,@LV,BAL,LAC,@TB,@PIT,KC,ATL,BYE,@CIN,@HOU,CAR,@DEN,CIN,@BAL
DAL,@CAR,NYG,@SEA,DET,@HOU,JAX,@WAS,BYE,TEN,@PHI,@ATL,WAS,NO,PHI,@IND,TB,@NYG
DEN,SEA,LV,@BAL,KC,@NYJ,LAR,@ARI,@KC,HOU,BYE,@LAC,PIT,@CIN,@SF,CLE,@LV,LAC
DET,NYJ,@SF,NE,@DAL,GB,BYE,@MIA,SEA,@MIN,@CHI,CAR,CHI,LAR,@ARI,@BUF,MIN,@GB
GB,CHI,MIN,@WAS,BUF,@DET,SF,BYE,@LAR,@NE,MIA,@SEA,@MIN,ARI,ATL,@CHI,@NYJ,DET
HOU,@NE,@TEN,NYG,@IND,DAL,BUF,@JAX,MIA,@DEN,BYE,@WAS,TEN,CLE,IND,@NYJ,@PHI,JAX
IND,CIN,@WAS,@PHI,HOU,@NE,@NYJ,BUF,@LV,BYE,JAX,TEN,MIA,@JAX,@HOU,DAL,NYG,@TEN
JAX,@NYG,NE,TEN,NYJ,@KC,@DAL,HOU,PHI,BYE,@IND,PIT,@BUF,IND,@TEN,WAS,@MIA,@HOU
KC,@LAC,@PIT,SF,@DEN,JAX,@NE,CIN,DEN,@CLE,ARI,@LAR,BYE,@LV,BAL,LAC,@SEA,LV
LAC,KC,@BUF,@LAR,SF,LV,@CLE,TEN,BYE,@SEA,@LV,DEN,ARI,@PIT,CIN,@KC,BAL,@DEN
LAR,@LV,ARI,LAC,MIN,@SEA,@DEN,@SF,GB,@NO,SEA,KC,BYE,@DET,@CHI,PHI,@ARI,SF
LV,LAR,@DEN,@MIA,CLE,@LAC,SEA,BYE,IND,@SF,LAC,@ARI,@BAL,KC,PIT,@CIN,DEN,@KC
MIA,TEN,@NYJ,LV,@NE,@CIN,CHI,DET,@HOU,NYJ,@GB,BYE,@IND,BUF,NE,@MIN,JAX,@BUF
MIN,SF,@GB,BUF,@LAR,@PHI,ARI,@NYJ,NO,DET,BYE,@CHI,GB,@NE,@SEA,MIA,@DET,CHI
NE,HOU,@JAX,@DET,MIA,IND,KC,@CHI,@BUF,GB,@TEN,BYE,@NYJ,MIN,@MIA,@PIT,BUF,NYJ
NO,TB,CLE,@ATL,@NYG,WAS,BYE,@BAL,@MIN,LAR,@CIN,PHI,ATL,@DAL,@TB,@CAR,PIT,CAR
NYG,JAX,@DAL,@HOU,NO,@CAR,PHI,@ATL,WAS,BYE,@SF,TB,@PHI,CHI,@WAS,TEN,@IND,DAL
NYJ,@DET,MIA,@CLE,@JAX,DEN,IND,MIN,@CHI,@MIA,BUF,BYE,NE,@TEN,@BUF,HOU,GB,@NE
PHI,ATL,@TB,IND,@TEN,MIN,@NYG,CAR,@JAX,BYE,DAL,@NO,NYG,WAS,@DAL,@LAR,HOU,@WAS
PIT,@CLE,KC,@TB,BAL,ATL,@CIN,BYE,CLE,@BAL,CAR,@JAX,@DEN,LAC,@LV,NE,@NO,CIN
SEA,@DEN,@CHI,DAL,@ARI,LAR,@LV,BYE,@DET,LAC,@LAR,GB,@CAR,SF,MIN,@SF,KC,ARI
SF,@MIN,DET,@KC,@LAC,ARI,@GB,LAR,@ARI,LV,NYG,BYE,@TB,@SEA,DEN,SEA,CHI,@LAR
TB,@NO,PHI,PIT,@CHI,BYE,@ATL,CLE,@CIN,@CAR,WAS,@NYG,SF,CAR,NO,@BAL,@DAL,ATL
TEN,@MIA,HOU,@JAX,PHI,@BUF,BAL,@LAC,BYE,@DAL,NE,@IND,@HOU,NYJ,JAX,@NYG,WAS,IND
WAS,@ARI,IND,GB,BYE,@NO,CAR,DAL,@NYG,ATL,@TB,HOU,@DAL,@PHI,NYG,@JAX,@TEN,PHI
